ID,Decription,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
A54,Pergi jalan ke sekitar rumah,1,0,1,0,0;1,-3.8;1310.69,1.25;5,1.5;5,-3.8;1348.14,1.75;3,1.5;6,6.287;31.435,7.5;30,0.25;0;0.563,0:30,5:00,3,5,6,6,1,7.5,5,7|-3,-,agen02;agen03,A54,1,-,-,-,RHD01|NONE,R1|-,-|-,4|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A181,Checkup ke RS,3,0,1,0,0;1,-3.8;1310.69,1.5;5,1.75;5,-3.8;1348.14,1.75;3,1.75;6,6.287;31.435,7.5;30,0.25;0;0.563,2:30,7:00,0,5,6,10,1,7.5,7.5,30|-1,-,agen05,A182,0,-,-,-,RHD01|NONE,R1|-,-|-,2|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A156,Pulang checkup dengan agen05,3,0,1,0,0;1,-3.8;1310.69,1.5;5,1.75;5,-3.8;1348.14,1.75;3,1.75;6,6.287;31.435,7.5;30,0.25;0;0.563,0:30,-,0,5,6,10,1,7.5,7.5,30|-1,A181,agen05,A192,0,-,-,-,RHD01|NONE,R1|-,-|-,2|-,-|-,-|-,R2|-,-|-,-,0,0,Room:0:0.1|-
A01,Membereskan kasur & karpet tidur,1,0,0,0,1;0,-2;561.722,1;9,1;9,-2;1572.83,1.25;3,0.25;3,6.287;50.296,22.5;54,0;0;0.375,0:15,8:00,0,2,6,6,1,7.5,5,1|1,-,-,-,0,-,-,-,RTU02|NONE,R1|-,65;L1|-,1|-,27|-,Bed|-,R2|-,-|-,-,8,-,Room:0:0.1|-
A46,Menonton TV pagi,1,0,0,0,0;1,-1;1497.932,1;8,1.25;2,-1;1348.14,0.25;1,0.25;3,6.287;50.296,30;36,0.25;0;0.25,1:30,8:00,0,2.5,6,6,0,0,5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,65;L1|-,4|-,27|-,Chair|-,E2|-,-|-,-,0,0,Room:0:0.1;TV01:1:0.029|-
A29,Memasak air untuk mandi di pagi hari,2,1,0,0,0;1,-2.5;561.722,1;9,1;9,-2.5;1572.83,0.25;5,0.25;5,6.287;50.296,15;54,0.25;0;0.25,0:15,9:00,0,5,8,8,1,7.5,7.5,1|1,-,-,-,0,S19-M,P11,-,RDP01|NONE,-|-,65;L1|-,1|-,-|-,Stove|-,D2|-,Gas:0|Water:5,-,1,Dirty,Room:0:0.1;Gas:11:-0.0048|Water:0:-5
P11,Menyiapkan air mandi pagi,2,0,0,0,0;1,-1;561.722,0.1;9,0;9,-1;1572.83,0.25;5,0.25;5,6.287;50.296,30;54,0.25;0;0.25,0:05,9:05,0,5,8,8,1,7.5,7.5,1|1,A29,-,-,0,S19-C,B07,-,RKM01|NONE,CC|-,65;L1|-,1|-,-|-,-|-,R2;D2|-,Water:40|-,-,1,Dirty,Room:0:0.1;Water:0:-40;Water:6:-0.2|-
P05,Mencari agen03 bermain pagi,2,0,0,0,0;1,-1;561.722,0.1;9,0;9,-1;1572.83,1;5,1;5,6.287;50.296,30;54,0.25;0;0.25,0:05,9:00,0,3,4,6,1,7.5,5,1|1,-,agen03,-,0,-,A180,-,-,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A180,Bermain dengan agen03,1,0,0,0,0;1,-2.5;1123.448,1;6,1.25;4,-2.5;674.07,1.25;2,1.5;2,6.287;50.296,15;48,0.25;0;0.25,1:00,-,0,3,4,6,1,7.5,5,1|1,P05;P40;P41,agen03,A155,1,-,-,-,RKG01|RTM01,-|-,65;L1|65;L1,-|-,-|-,Chair|Sofa,E2|E2,-|-,-,6,-,Room:0:0.5|Room:0:0.5
A44,Menjahit,1,0,0,0,0;1,-2;561.722,1;9,1;9,-2;1123.45,1.25;3,1.25;7,6.287;50.296,15;54,0.25;0;0.375,1:00,10:00,3,4,6,8,0,0,5,7|-3,-,-,-,0,-,-,-,RKJ01|NONE,-|-,100;L1|-,2|-,-|-,SewMachine|-,E2;L2|-,ReadyUseCloth:0|-,-,0,0,Room:0:0.1;SW01:1:0.085|-
