Current Activity,B04,,,,
Ability,10,,,,
Weight,38,,,,
EmotionNorm,0.5,,,,
EmotionCurrent,0.5,,,,
RateGood,0.000555555555556,,,,
RateBad,0.008333333333333,,,,
NonIndependentAct,-,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,1396.0,1675.2|24|0.5:0.25:0.125,06-09;12-15;18-24,558.4;1396,-
Dirty,0,10|24|0.3:0.15,06-09;18-21,8,-
Thirst,4,10|8|1:0.25,-,10:10;0:0;5:5,-
Energy,837.6,1675.2|24|0.2:0.025,-,-,-
Exhausted,8,10|15|1:-0.5,-,-,-
Sleepy,6,10|9|0.05:-1,06-09;19-20|15-18;21-24,-,-
Defecate,-,-,06-09,-,1675.2;4.79;39.08;0.7355
Urinate,93.5,60,-,337.5:32.5,20900;93.5;32.5
