ID,Description,Repeat,Auto,Outdoor,BioActivity,Interrupt,Hunger,Dirty,Thirst,Energy,Exhausted,Sleepy,Defecate,Urinate,Emotion,Duration,Start,Priority,Physical_Std,Wish,Advantage,Authority,Obedience,Urgency,Routine,Prerequisite,InteractAgent,FollowerActivity,FollowMovement,Set,Next,Eliminate,Rooms,Door,LightThreshold,Status,Temperature,Device,PostActivity,Resource,InteractAgentStatus,UrgencyType,UrgencyValue,Effect
P28,Wudhu1,5,0,0,0,0;1,-1;698,-1;7,1;7,-1;335.04,-0.15;8,1;7,1;7,30;7,0.25;-0.25;0.25,0:05,05:00|02:00|08:00,0,3,10,10,1,10,10,1|1,-,-,-,0,SC10-C,A82,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A82,Ibadah 1,1,0,0,0,0;1,-1;698,0.1;7,1;7,-1;335.04,-0.15;8,1;7,1;7,30;7,0.25;-0.25;0.25,0:15,05:05|02:05|08:05,0,2,10,10,1,10,10,1|1,P28,-,-,0,SC10-M,-,-,RTA02|NONE,R1|-,20;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A36,Pergi jalan ke luar rumah di akhir pekan pagi,1,0,1,0,0;1,-2.3;977.2,0.75;5,1.3;5,-2.3;1005.12,1.5;3,1;6,1.5;5,15;5,0;0;0.5,3:00,10:00|07:00|13:00,3,5,10,10,1.167,10,7.5,30|-2,-,-,-,0,-,-,-,RGS01|NONE,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
A24,Memasak makan pagi dengan kompor gas,5,0,0,0,0;1,-2.5;977.2,0.3;8,1;4,-2.5;1005.12,1;2,1;2,1.5;8,15;8,0;0;0.5,0:15,07:00|04:00|10:00,0,6.5,10,10,1.167,10,10,1|1,-,agen01;agen02;agen03;agen05;agen06,-,0,-,-,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Stove|-,L2;D2|-,Gas:0;Water:12;RawFood:6|-,Hunger;6,3,Hunger;1.2,Room:0:0.1;Water:0:-10;Gas:11:-0.04;DirtyUtensil:0:1;RawFood:0:6;Food:4:12|-
A51,Menonton TV pagi,3,0,0,0,1;0,-1;418.8,0.2;9,1;9,-1;1172.64,1;3,1.25;7,1;8,30;9,0;0;0.625,3:00,09:00|06:00|12:00,0,2.5,10,8,1.167,10,7.5,1|1,-,-,-,0,-,-,-,RKG01|NONE,-|-,20;L1|-,0.5|-,-|-,Sofa|-,L2;E2|-,-|-,-,0,0,Room:0:0.1;TV01:1:0.509|-
A124,Makan bersama keluarga siang,3,0,0,0,0;1,-1.5;1675.2,0.1;8,1;8,-1.5;0,1;8,1;7,1;8,30;7,0;0;0.5,0:30,12:00|09:00|15:00,0,0,10,10,1.167,10,10,7|6;7,A119,agen01;agen02;agen03;agen06,-,0,SC11-M,B02,A48,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,L2;D2|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;Water:11:-0.083;Water:0:-2;Food:0:-2;DirtyUtensil:0:1|-
A48,Pergi makan siang di luar rumah,1,0,1,0,0;1,-2;418.8,0.4;9,1;9,-2;502.56,1.5;3,1;8,1.75;8,22.5;9,0;0;0.5,2:00,12:00|09:00|15:00,3,5,10,10,1.167,10,7.5,30|-2,-,-,-,0,-,-,A124,RGS01|NONE,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,1,Hunger,Room:0:0.1|-
P29,Wudhu 2,5,0,0,0,0;1,-1;698,-1;7,1;7,-1;335.04,-0.15;8,1;7,1;7,30;7,0.25;-0.25;0.25,0:05,13:00|10:00|16:00,0,3,10,10,1,10,10,1|1,-,-,-,0,SC10-C,A105,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A105,Ibadah 2,1,0,0,0,0;1,-1;698,0.1;7,1;7,-1;335.04,-0.15;8,1;7,1;7,30;7,0.25;-0.25;0.25,0:15,13:05|10:05|16:05,0,2,10,10,1,10,10,1|1,P29,-,-,0,SC10-M,-,-,RTA02|NONE,R1|-,20;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A33,Bekerja di luar rumah,1,0,1,0,0;1,-2.3;418.8,1.3;9,1.3;9,-2.3;670.08,1.5;3,1;7,0.25;8,15;9,0;0;0.5,4:00,12:00|09:00|15:00,0,6.5,10,10,1,10,10,7|1;2;3;4;5,-,-,-,0,-,-,-,RGS01|NONE,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
P30,Wudhu 3,5,0,0,0,0;1,-1;698,-1;7,1;7,-1;335.04,-0.15;8,1;7,1;7,30;7,0.25;-0.25;0.25,0:05,15:00|12:00|18:00,0,3,10,10,1,10,10,1|1,-,-,-,0,SC10-C,A107,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:10000|-,-,0,0,Room:0:0.1;Water:6:-0.086|-
A107,Ibadah 3,1,0,0,0,0;1,-1;698,0.1;7,1;7,-1;335.04,-0.15;8,1;7,1;7,30;7,0.25;-0.25;0.25,0:05,15:05|12:05|18:05,0,2,10,10,1,10,10,1|1,P30,-,-,0,SC10-M,-,-,RTA02|NONE,R1|-,20;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A04,Belanja,2,0,1,0,1;0,-2.3;977.2,0.5;8,1;2,-2.3;670.08,1;2,1;3,1.5;8,15;8,0.125;0;0.5,2:00,15:00|12:00|18:00,0,6.5,10,10,1,10,10,7|6;7,-,-,-,0,-,-,-,RGS01|NONE,R1|-,-|-,-|-,-|-,-|-,-|-,RawFood:10|-,-,2,RawFood,Room:0:0.1;RawFood:0:25;Trash:0:1|-
A77,Bersantai sore,3,0,0,0,0;1,-1;1116.8,0.2;8,1;2,-1;670.08,-3;1,1;3,1;8,30;6,0.25;0;0.25,2:00,15:00|12:00|18:00,0,2,10,10,1,10,7.5,7|6;7,-,-,-,0,-,-,-,RKG01|RTA02,-|R1,20;L1|20;L1,0.33|0.33,29|29,Sofa|Bed,L2|L2;E2,-|-,-,0,0,Room:0:0.1|Room:0:0.1
A76,Membaca sore,1,0,0,0,1;0,-1.3;1116.8,0.2;8,1;2,-1.3;670.08,1;1,1;3,1.75;8,22.5;6,0.25;0;0.5,1:00,15:00|12:00|18:00,0,4,8,8,1,10,2.5,7|6;7,-,-,-,0,-,-,-,RKG01|NONE,-|-,20;L1|-,-|-,29|-,Sofa|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A36,Pergi jalan ke luar rumah di akhir pekan sore,1,0,1,0,0;1,-2.3;977.2,0.75;5,1.3;5,-2.3;1005.12,1.5;3,1;6,1.5;5,15;5,0;0;0.5,3:00,16:00|13:00|19:00,3,5,10,10,1.167,10,7.5,30|-2,-,-,-,0,-,-,-,RGS01|NONE,-|-,-|-,-|-,-|-,-|-,-|-,-|-,-,0,0,Room:0:0.1|-
P36,Wudhu 4,5,0,0,0,0;1,-1;698,-1;7,1;7,-1;335.04,-0.15;8,1;7,1;7,30;7,0.25;-0.25;0.25,0:05,18:00|15:00|21:00,0,3,10,10,1,10,10,1|1,-,-,-,0,SC10-C,A108,-,RDP01|NONE,-|-,20;L1|-,-|-,-|-,Faucet|-,L2;D2|-,Water:0|-,-,0,0,Room:0:0.1;Water:11:-0.089;Water:11:-0.086|-
A108,Ibadah 4,1,0,0,0,0;1,-1;698,0.1;7,1;7,-1;335.04,-0.15;8,1;7,1;7,30;7,0.25;-0.25;0.25,0:15,18:05|15:05|21:05,0,2,10,10,1,10,10,1|1,A108,-,-,0,SC10-M,-,-,RTA02|NONE,R1|-,20;L1|-,0.17|-,-|-,-|-,L2|-,-|-,-,0,0,Room:0:0.1|-
A110,Menonton bersama keluarga (menggunakan home theater),3,0,0,0,0;1,-1;1116.8,0.2;8,1;2,-1;670.08,1;1,1.25;3,1;8,30;6,0;0;0.625,3:00,19:00|16:00|22:00,0,2,10,10,1.167,10,10,7|6;7,-,agen01;agen02;agen04;agen06,A110,0,-,-,-,RKG01|NONE,-|-,20;L1|-,-|-,-|-,Sofa|-,L2;E2|-,-|-,-,6,-,Room:0:0.1;TV01:1:0.509;HT01:1:1|-
A125,Makan bersama keluarga malam,3,0,0,0,0;1,-1.5;1675.2,0.1;8,1;8,-1.5;0,1;8,1;7,1;8,30;7,0;0;0.5,0:30,19:00|16:00|22:00,0,0,10,10,1.167,10,10,7|6;7,A119,agen01;agen02;agen03;agen06,-,0,SC11-M,B02,-,RMK01|NONE,-|-,20;L1|-,-|-,-|-,Chair|-,L2;D2|-,Food:10|-,Hunger;7,3,Hunger;1.2,Room:0:0.1;Water:11:-0.083;Water:0:-2;Food:0:-2;DirtyUtensil:0:1|-
A02,Mengisi ulang daya gadget,1,1,0,0,0;1,-1;418.8,0.1;9,1;9,-1;1172.64,1;5,1;5,1;8,30;9,0;0;0.5,2:00,20:00|17:00|23:00,0,2,10,10,1,10,10,1|1,-,-,-,0,-,-,-,RTA02|NONE,R1|-,20;L1|-,-|-,29|-,-|-,L2;E2|-,-|-,-,0,0,Room:0:0.1;CH04:1:0.0148;CH05:1:0.0148|-
