Current Activity,B04,,,,
Ability,8,,,,
Weight,46,,,,
EmotionNorm,0.333,,,,
EmotionCurrent,0.3885,,,,
RateGood,0.000555555555556,,,,
RateBad,0.008333333333333,,,,
NonIndependentAct,A36,,,,
Property,Current,Rate,Habit,Effect,Custom
Hunger,2028.2,"2028,2|24|0.5:0.25:0.125",09-12;15-21,"676,07;1690,17",-
Dirty,0,10|24|0.3:0.15,03-06;15-18,8,-
Thirst,0,10|9|1:0.25,-,10:10;0:0;5:5,-
Energy,1690.2,2028.2|24|0.2:0.025,-,-,-
Exhausted,4,10|18|1:-0.5,-,-,-
Sleepy,4,10|15|0.05:-1,03-06;19-20|15-18;21-24,-,-
Defecate,-,-,06-09,-,2028.2;7.71;62.87;0.7355
Urinate,32.5,60,-,337.5:32.5,23500;32.5;32.5
